9 280 675
4 94 0.421965 0.131007
5 94 0.330707 0.170557
4 95 0.421965 0.129182
5 95 0.330707 0.16934
6 26 -0.069449 -0.0732085
6 87 0.304428 0.0154325
6 88 -0.0765801 -0.0986801
4 88 0.0171438 -0.145751
6 90 -0.382202 0.000149528
6 91 0.293426 0.183137
6 80 0.267753 0.172133
4 96 -0.332487 -0.082419
6 96 -0.399724 -0.0454955
4 97 0.0181218 -0.146974
6 97 -0.0757651 -0.0992914
6 90 -0.397279 -0.0210428
6 93 0.278951 0.176388
4 98 0.401685 0.124416
6 98 0.277473 0.177656
6 94 0.297245 0.182726
6 74 -0.166143 -0.164603
6 95 0.297854 0.180293
4 99 0.33499 -0.109888
7 99 0.266735 -0.0344918
7 88 -0.0276807 -0.0762651
7 89 -0.342471 -0.0018882
7 90 -0.328208 0.0195079
7 91 0.341103 0.202699
4 100 -0.398501 0.112224
7 100 -0.438232 0.146866
7 90 -0.34349 -0.00148063
7 92 0.439146 0.0437568
7 63 -0.480652 0.00707781
7 69 -0.506178 0.012653
7 67 -0.481533 0.00737126
4 101 -0.475406 -0.0454465
7 101 -0.505826 0.0115967
4 102 -0.429777 0.0123573
7 102 -0.470337 0.058499
7 74 -0.112909 -0.141786
4 103 -0.0781296 -0.217641
7 103 -0.113416 -0.1428
4 104 -0.267946 -0.108118
7 104 -0.289848 -0.0484888
4 105 0.392039 0.121394
8 105 0.396114 0.135658
4 106 0.396114 0.122413
8 106 0.400189 0.136677
8 77 0.432789 0.148903
4 107 -0.313946 -0.0304163
8 107 -0.33534 -0.0375484
4 108 0.435845 0.00931928
8 108 0.446236 0.0193041
4 109 0.432789 0.115281
8 109 0.438901 0.131583
4 110 0.426676 -0.0732085
8 110 0.43992 -0.0670954
4 111 0.409358 0.126488
8 111 0.413433 0.141771
4 112 0.301983 -0.023488
8 112 0.308095 -0.0210428
8 89 -0.352047 -0.0626123
8 90 -0.336155 -0.0381597
4 108 0.435234 0.00830045
4 113 0.405894 0.124451
8 113 0.410784 0.139122
8 80 0.394892 0.135454
8 100 -0.440066 0.118337
8 82 0.507361 -0.00270327
4 114 -0.271363 -0.10785
8 114 -0.292145 -0.116408
4 115 -0.249358 -0.175095
8 115 -0.272341 -0.18512
8 61 0.425943 0.142057
4 116 -0.270874 -0.108828
8 116 -0.292879 -0.116164
8 62 -0.524662 -0.0413385
4 117 0.418021 0.118289
8 117 0.423303 0.134134
4 118 0.396897 0.12357
8 118 0.400418 0.137655
4 119 0.391616 0.120049
8 119 0.395136 0.134134
8 63 -0.495616 -0.0472071
4 120 0.418021 0.114767
8 120 0.423303 0.130613
4 121 -0.316057 -0.0296012
8 121 -0.337181 -0.0366436
4 122 0.0184152 -0.147561
8 122 0.0113737 -0.154603
4 123 0.301836 -0.02608
8 123 0.308878 -0.0243194
4 124 -0.271343 -0.108828
8 124 -0.292468 -0.117279
8 67 -0.495264 -0.0475592
4 125 0.442667 0.00314585
8 125 0.455341 0.0137094
4 126 0.389855 0.119345
8 126 0.39408 0.134134
8 68 -0.472365 0.0214842
4 127 -0.0900945 -0.200097
8 127 -0.100234 -0.212773
4 128 0.470129 -0.00488241
8 128 0.485338 0.00525861
4 129 0.42957 -0.0834753
8 129 0.442244 -0.0758695
4 130 0.427035 -0.0733343
8 130 0.439709 -0.0682638
4 131 0.418923 0.118838
8 131 0.425007 0.13405
8 73 -0.29289 -0.118462
4 132 0.385462 0.00627271
8 132 0.394587 0.0153997
8 103 -0.0890805 -0.228593
8 104 -0.289848 -0.11907
5 133 0.440939 0.126488
6 133 0.404672 0.1379
